Schlagwort;Idee;Problem;Lösung
Digitalisierung;Börse für Wohnungsuchende;Wie viele Scheidungen gibt es in der Stadt pro Jahr? Wie viele Studenten verlassen jedes Jahr Bamberg? Wie viele Einwohner ziehen an einen anderen Ort? ==> Wieviel Wohnraum wird tatsächlich gesucht nach Raumzahl und Quadratmeter? Immer wieder hört/liest man, daß es in Bamberg Wohnungsknappheit gibt. Da werden Quartiere gebaut z.B. Wunderburg, Megalith, Erba, etc. und trotzdem wird von manchen behauptet, es gebe zu wenig Wohnraum in der Stadt. Sie fordern eine weitere Flächenversiegelung zu Lasten der Natur. Dabei gibt es aus oben genannten Gründen genügend Wohnraum der frei wird. ;"Man müßte Wohnungssuchende und Wohnungsanbieter auf einer zentralen Platform automatisch zusammenbringen. Die Verwaltung müßte doch in der Lage sein, jeden Wohneigentümer in Bamberg zu benennen mit Anzahl der Wohnungen, mit Größe nach qm der Wohnungen, mit Größe der darin lebenden Haushalte, und mit Anzahl der Einzelpersonen, die in einer Wohnung leben. Sodann müßte der Eigentümer automatisch eine Meldung der Stadt bekommen, wenn bei ihm Wohnraum frei wird, wer als Wohnungssuchender in Frage kommt. Denn dieser hat sich bei seinem Zuzug oder bei einem in seiner Person begründeten Ereignis (Scheidung, Bestandene Prüfung, Wechsel der Arbeitsstätte, etc.) in oder nach Bamberg registriert mit: Status: Student/in, ""Scheidungsopfer"", Single, Familie, Ehepaar, etc. und Einkommen bzw. zu Wohnzwecken verfügbarem Einkommen. Nun hat er gemeldet, dass er Wünsche hat für einen neuen Wohnraum in Bamberg."
Mobilität;Erlichstrasse ist für Fahrräder frei geworden in beide Richtungen - Wegfall von 6 Parkplätzen.;Berufstätige Auswärtige finden im Bereich Wunderburg/Erlichstrasse tagsüber während ihrer Arbeit (z.B. Apothekerin) keine Parkplatze bzw. nur solche, die zeitlich auf 2 Stunden beschränkt sind. Autos müssen somit alle 2 Stunden umgeparkt werden. Im Sommer gibt es noch Möglichkeiten: Rad, Roller, etc. ;Freigabe sämtlicher Straßenrandparkplätze + Einführung einer Parkapp mit der, der Parkplatzsuchende schon bei Anfahrt sehen kann, wo es freie Plätze gibt 
Stadtgestaltung; Fitnessparks/Fitness-Parcours schaffen im Hain, auf Erba, oder wo immer es möglich ist;Corona hat es erforderlich gemacht, dass sich viele Aktivitäten ins Freie verlagern mussten. Die Stadt könnte doch Fitnessgeräte aufstellen, die wetterfest, stabil und geeignet sind für Ausdauer- und Krafttraining. Mit einer App verbunden könnte jeder sein Training zu jeder Zeit, wann immer er will starten und durchführen und ähnlich wie bei der Stadtradel-App seine Ergebnisse individuell festhalten. Im Zusammenhang mit einer veränderten Innenstadt, wo es mehr grün geben sollte, könnten selbst am Maxplatz solche Geräte zum Fitness-Sport installiert werden. Vielleicht könnten sogar dort Fitnesskurse mit Trainern stattfinden. ;Beschaffung und Installation der Trainingsgeräte. Entwicklung einer App dazu. 
Mobilität;"ÖPNV attraktiver machen - ""Kreuz- und Querverbindungen des ÖPNV";Bürger wollen sich kreuz und quer in der Stadt bewegen. Um dem nahe zu kommen müssten andere Wege des ÖPNV geschaffen werden: Ringverbindungen, aber auch Querverbindungen z. B. von der Gartenstadt nach Gaustadt, vom Klinikum in die Wunderburg, vom Megalith-Gelände zur Schranne, von Gaustadt ins Haingebiet. Vieles geht heute auch schon, jedoch verbunden mit Umsteigen und Wartezeiten. Das macht den Umstieg von Auto auf ÖPNV nicht attraktiv. ;"Umplanung durch die Stadtwerke/Verkehrsbetriebe von ÖPNV-Verbindungen. Ganz einfach: Schaffung eines vollkommen neuen Netzes; evtl. Verlegung des ZOB zum Bahnhof. Außerdem muß es preislich so gestaltet sein, daß eine Busfahrt günstiger ist als eine Autofahrt."
Digitalisierung;App für Neubürger und/oder Schaffung von bezahlten Stadtpaten;Neubürger und auch anderweitig länger in der Stadt Verweilende kennen sich nicht aus, wissen nicht was verwaltungstechnisch zu beachten ist (Meldewesen, Beantragung von Lizenzen, Gewerbeanmeldungen, Studienplatz -Tausch, Einschreibungen, etc. ;"Die o.g. Zielgruppe erfährt auf einen Blick mittels einer App oder eines ""Kundigen"", was es zu beachten gibt, weiche Vorteile bestimmte Anmeldungen haben, was nützlich ist für einen Aufenthalt hier, welche Wege man persönlich gehen muss, wo es Hilfestellung für welches Problem gibt. "
Digitalisierung;Bamberg App (Bamberg ist hier ganz, ganz hinten (hinter dem Mond?) Schaut Euch doch mal Heidelberg an;"Touristen kommen nach Bamberg und suchen nach Sehenswürdigkeiten oder nach tagesaktuellen Veranstaltungen oder auch kurzfristigen Absagen von Veranstaltungen z.B. ""Was ihr wollt "" heute Abend. Studenten kommen nach Bamberg und sind auf der Suche nach einer Wohnung oder einem WG-Zimmer. Bürger möchten etwas ""melden"" z.B. übervolle Abfalleimer, Straßenbeschädigungen, etc. Alle diese Personengruppen gehen nicht mehr den Weg: google ==> Bamberg ==> Bürgerservice ==> etc. ==>> etc. ";"1. eine Bamberg App die sich z.B. über den playstore (android) installieren lässt und die alle ""Bamberg-Probleme"" mit einem Schlag löst für alle o.g. Zielgruppen löst. (Schaut Euch doch mal die App von Heidelberg an)
2. an bestimmten Stellen in Bamberg werden an Gebäuden, Gaststätten, Mülltonnen, Toiletten, weiteren öffentlichen Orten QR-Codes angebracht, Der digitale Bürger - Studenten sowieso - haben mittlerweile verstanden, was man mit QR-Codes alles machen kann: sich registrieren, Speisenkarten lesen, Erklärungen zu Gebäuden erhalten, dito zu Berühmtheiten und zur Geschichte der Stadt, etc. "
Crowdsensing;"Digitaler ""Vandalismus-""Melder";Öffentliche Orte und Gebäude sind oftmals Ziel von Vandalen. Jüngstes Beispiel : die Aufzüge an der Kettenbrücke. Weitere Beispiele: Umgestürzte Blumenkübel, Schmierereien an Gebäuden, vermüllte Strassen, etc. ;"Nachdem wohl Video- Aufzeichnungen aus Datenschutzgründen nicht möglich sind?????, sollte zumindest in den Aufzügen , in den Toiletten, an öffentlichen Gebäuden ein technisches, digitales Gerät installiert sein, das an eine zentrale Meldestelle einen Stillstand, eine Beschädigung, ein unzulässiges Graffiti, etc. meldet. Konkrete Ideen und Lösungen hierzu lassen sich z.B. in solchen Städten finden, die jetzt dazu übergegangen sind ""digitale Feuermelder"" an öffentlichen Gebäuden zu installieren, die direkt mit der örtlichen Feuerwehr verbunden sind. "
Digitalisierung;App für Bamberg!!!!;"Bin gestern nach unserer Veranstaltung ""Multiplikatoren"" durch den Erba-Park geradelt. Dabei ist mir aufgefallen, dass sich dort wohl ""Aktive Sportbegeisterte"" getroffen haben und Sport mit Bändern, etc. machten. Problem: Ich konnte nicht mitmachen, weil keiner darüber informiert hat oder die Info dort stand - vielleicht bei einem Verein? - wo ich sie nicht gelesen habe. Solche events finden immer häufiger statt, vielleicht liegt das auch an der Pandemie. Das können auch spontane Sing-/Sport-/Diskussions-/Musikveranstaltungen, etc. sein. Die Kommunikation solcher events findet nicht statt bzw. es wird darüber nicht tagesaktuell in einem zuverlässigen medium berichtet. Eine Spontan-Teilnahme ist nicht möglich.";Gerade komme ich von einem Wien-Aufenthalt zurück. Was lag dort näher als sich über eine vernünftig gestaltete Wien-App über alles Wissenswerte zu informieren! Und so etwas erwarte ich mir auch für mein Problem. Endlich eine umfassende App für Bamberg, auf der die Öffis (Bahn, Bus, E-scooter, Taxi) drauf sind aber auch alle Möglichkeiten zu einer aktiven oder passiven Teilnahme und zwar entweder spontan oder in der Vorausschau. Nichts ein zu wänden bzw. zu ergänzen wäre die App mit einem Barcode am Veranstaltungsort mit dem man seine Teilnahme anmeldet, bestätigt oder bezahlt. 
Digitalisierung;Freie Gastroplätze in innerstädtischen Lokalen;Restaurants und Gaststätten in Bamberg sind am Wochenende in den Frühlings-/Sommermonaten ausgebucht. Bereits für Kleingruppen ab 3 Personen ist somit ein Spontanaufenthalt nicht mehr möglich. Morgens verabreden, abends essen gehen, ist nich mehr möglich ;"Auf der ""Bamberg App"" sind alle Lokale der Stadt enthalten und ähnlich wie in Parkhäusern oder bei der Reservierung von Zugplätzen, Theaterplätzen wird ständig aktualisiert und darüber informiert wieviel freie Plätze es noch gibt oder ab wann etwas frei ist "
Digitalisierung;Hausbesitzer bei energetischer Sanierung unterstützen;Für Hausbesitzer ist oft nicht klar, was welche Investitionen in energetische Sanierung wirklich an Einsparungen bringen und ob sie sich rentieren. ;Das (wenigstens für die Innenstadt) vorhandene 3D-Modell wird ausgebaut und mit einem Modul verbunden, das nach Eingabe einer Reihe von Daten ermöglicht, konkret abzuschätzen, was eine bestimmt Sanierung kosten und was sie an Einsparung einbringt. 
Crowdsensing;Mängelmelder für Schlaglöcher;Es gibt viele Schlaglöcher, aber die Stadt bemerkt zu spät.;Alle Bamberg können über eine App Schlaglöcher melden. 
Stadtgestaltung;Spielgerätei in Parks aus dem Automaten;Viele Spielgeräte liegen in Familien nach einmaligem Gebrauch ungenutzt herum. Das ist Verschwendung von Ressourcen. Zugleich können es sich einkommensschwächere Familien einfach nicht leisten, alle Wünsche der Kinder einfach zu erfüllen. ;"Ein Automat bietet im Park eine Reihe von Spielgeräten zur Ausleihe. Das muss nicht viel kosten, ein Pfand wird einbehalten. Natürlich alles digital ohne Bargeld, sonst steigt der Aufwand ins unermessliche. Es gibt dafür ein Beispiel aus Niedersachsen:

https://kommunal.de/ahaus-digital-spielg..."
Barrierefreiheit;Stärkung der Teilhabe Geflüchteter durch digitale Befähigung;"Leider können den rapiden Wandel von der realen in die virtuelle Welt nicht alle Menschen gleich gut schaffen, denn so einfach, wie es klingt, Begegnungsangebote digital umzusetzen oder daran teilzunehmen, ist es nicht. Auch viele andere Dinge des Alltags, wie bespielsweise das Ausfüllen von Formularen, werden mehr und mehr in den digitalen Raum verlegt. Wie auch andere sozial benachteiligte Menschen, erreicht der Digitalisierungsschub, der durch die Pandemie schneller vorankommt, viele Geflüchtete nicht, was eine Vielzahl an Gründen hat, wie beispielsweise fehlende Sprachkenntnisse sowie fehlende technische und digitale Voraussetzungen. Auch die Wichtigkeit des Themas wird oft nicht erkannt. Dies führt zu einer weiteren Benachteiligung, die sich in allen Bereichen des Alltags auswirkt.

";
Digitalisierung;Web-App für Geflüchtete mit regionalen Informationen und Angeboten;Angebote für Geflüchtete und Migrant*innen im Allgemeinen kommen oft nicht bei der Zielgruppe an. Die Suche nach unterschiedlichsten Informationen über den Alltag in Bamberg und zu Veranstaltungsangeboten ist aufgrund der Sprachbarriere schwierig. Unterschiedliche Organisationen haben Angebote, aber keinen direkten Kontakt zur Zielgruppe. Angebote sind nur schwer zu finden, wenn man nicht weiß, wo man suchen muss. Hinzu kommt, dass die Sprache oft schwer verständlich und zuviel ist.;Angebote für Geflüchtete und Migrant*innen im Allgemeinen kommen oft nicht bei der Zielgruppe an. Die Suche nach unterschiedlichsten Informationen über den Alltag in Bamberg und zu Veranstaltungsangeboten ist aufgrund der Sprachbarriere schwierig. Unterschiedliche Organisationen haben Angebote, aber keinen direkten Kontakt zur Zielgruppe. Angebote sind nur schwer zu finden, wenn man nicht weiß, wo man suchen muss. Hinzu kommt, dass die Sprache oft schwer verständlich und zuviel ist.
Stadtgestaltung;Heilkräutergarten um und in Bamberg!;Viele Bürger:innen besitzen keinen eigenen Garten. Altes über Generationen erkundetes Kräuterwissen wird nicht mehr weitergegeben.;Es werden rund um Bamberg auf allen geeigneten Grünflächen, Uferrändern, Plätzen oder auch Hochbeeten alle hier wachsenden Heilkräuter angebaut. Es wird eine App erstellt, die den Standort und die Wirkung des Heilkrautes beschreibt. Zudem befinden sich am Standort kleine Infoschilder über die Pflanze. Die Erkrankten haben die Möglichkeit zum Hausgebrauch benötigte Mengen zu ernten. Zudem werden sie gebeten in der App Angaben über Erntemenge und Datum einzugeben. Schön wäre auch eine Rückmeldung ob und wie gut die Heilpflanze gegen die Beschwerden geholfen hat. Zudem gibt es hier eine Informationsseite auf der alte bewährte Hausmittel beschrieben und ausgetauscht werden. 
Digitalisierung;(Video-)Konferenz Telefonie Netzwerk aufbauen;In Zeiten dieser Krise zeigt sich, dass eine Video-Konferenz nicht nur für die Home-Office Koordination wichtig ist. Auch im privaten Umfeld sind sie für die mentale Gesundheit sehr förderlich. ;"Ziel ist der Ausbau einer staatlichen Infrastruktur auf die Bürgerinnen und Bürger zurückgreifen können. Das Netz soll ähnlich zu dem Telefonnetz ubiquitär verfügbar sein. Man soll sich zukünftig nicht mehr die Frage stellen müssen, welchem US-Unternehmen man die eigenen persönlichen Daten anvertraut. Zunächst soll dies über einen Hub regional innerhalb Bambergs ermöglicht werden. Mit dem weiteren Ziel dies schnellstmöglich deutschlandweit auszudehnen. Die einzelnen Städte stellen dabei ein Netwerk zur Verfügung das – selbst durch vereinzelte Ausfälle – weiterhin funktionstüchtig bleibt.
Die Vorteile der Stadt lägen unter anderem in digitalisierten Behördengängen. Insbesondere auch solche mit Ausweisvorlage, ließen sich so von Zuhause aus erledigen – sowohl für die Bürger:innen als auch den Mitarbeiter:innen. Unterstützt wird dies durch eine Checkliste vor dem Anruf, einem verschlüsselten Dokumente Upload & Download und eine Rückruffunktion. So können Wartezeiten minimiert werden, bzw. fast gänzlich wegfallen."
Verwaltung;OpenHub als dauerhafte Einrichtung;"Diese Ideenplatform zur Findung von Digitalisierungs-Konzepten ist ein guter erster Schritt. Allerdings muss es für eine rege Beteiligung der Bürger:innen jederzeit möglich sein neue Ideen einzubringen. Es kann nicht sein, dass nur wer es genau im richtigen Moment geschafft hat eine Idee einzubringen, gehört wird. Sowohl die Technik als auch die Anforderungen ändern sich ständig. Die Bürger:innen müssen eine klare Ansprechsperson bzw. Institution haben an die sie sich wenden können. Ideen müssen respektvoll entgegen genommen werden und Ideengeber:in über den Stand informiert werden. Entweder durch eine begründete Absage oder der weiteren Schritte und Zeitpläne; Transparenz ist das A und O.";Eine Info- und Koordinationsstelle für Digitalisierungs-, Zukunftsplanung-, Zukunftsgestaltung-, und Durchführungsfragen. Vorzugsweise mit zusätzlicher, örtlicher Präsenz um die Hürde der Ideen-Einreichung zu senken. Bürger:innen sollen es jederzeit ermöglicht werden neue Ideen einzubringen. Vor Ort werden Hilfsmittel wie Flipchart, Whiteboard, Modelliermasse, etc. zur Verfügung gestellt um die Idee bestmöglich zu beschreiben. Durch die direkte Kommunikation kann die Idee klarer herausgearbeitet werden und auf Rückfragen direkt reagiert werden. Die Vorstellungen der Stadt und des Ideengebers auf einen Nenner bringen. Die gegenseitige Partizipation stärkt die Bindung zur Idee und zeigt gleichzeitig, dass die Stadt ein ernstes Interesse daran hat ihre Bürger:innen einzubeziehen. 
Digitalisierung;Bereitstellen öffentlicher Daten und Programmierschnittstellen (APIs);"Die Stadt besitzt reichlich Daten die entweder nicht, oder nicht ausreichend öffentlich zugänglich sind. Andere Informationen sind zwar zugänglich, allerdings nur analog einsichtig, obwohl digitale Kopien existieren.
Damit diese Daten effizient von Interessierten genutzt werden können, ist eine Schnittstelle (API) notwendig. Dadurch können Daten automatisiert ausgewertet werden. So können nicht nur private Ideen verwirklicht werden, sondern die Daten auch zwischen den Behörden (und Städten) leichter kommuniziert werden.

Beispiel A: Ein aktuelles Beispiel wären die Fallzahlen zu Corona Erkrankten die das Landratsamt Bamberg and das Robert Koch Institut (RKI) weiter leitet. Lägen diese Daten (selbstverständlich ohne Personendaten) über eine API zur Verfügung, ließen sich automatisiert Graphen für die aktuelle Lage in der Region erstellen. Durch die grafische Aufbereitung lässt sich die Ausbreitung des Virus und insbesondere Risiko-Bezirke erkennen, um so eventuell frühzeitig reagieren können.

Beispiel B: Städtebau-planung und -kommunikation. Wünschenswert ist eine Auflistung aller (städtischer) in Bau befindlicher Gebäude, ebenso wie Gebäude dessen Renovierung geplant ist, und Gebäude die abgerissen werden sollen. Umfang der Daten wäre hier bspw. Geplantes Datum der Maßnahme, beauftragte Baufirma, und Kosten der Maßnahme.
Detroit, USA kann hier als Vorbild herangezogen werden, sie haben bereits eine interaktive Karte für ebendiese Daten: https://detroitmi.gov/webapp/detroit-nei...";"1. Zunächst müssen vorhandene Datenbestände evaluiert werden auf die Frage hin, ob sie von öffentlichem Interesse sind. Die Tendenz soll hier ganz klar darauf liegen, möglichst viele Daten bereit zu stellen, und nur dann eingeschränkt werden, wenn dies ausdrücklich nicht für die Öffentlichkeit bestimmt ist. Selbst banale Datensatz-Anfragen können sich als nützlich erweisen.
2. Bevor Daten veröffentlicht werden, müssen diese unbedingt überprüft werden auf mögliche Verletzungen der Privatsphäre (Privacy Audit)
3. Bereitstellen einfacher Werkzeuge für Mitarbeiter:innen in allen Bereichen, die es ermöglichen, Daten für eine öffentliche Freigabe vorzubereiten. "
Digitalisierung;Vereinigte + verteilte Städte (Online-)Präsenz;Aufgrund der aktuellen Krisensituation ist eine ausfallsichere Online-Präsenz wichtiger den je. Bürgerinnen und Bürger nutzen die Webseiten der Stadt um sich über die aktuelle Lage zu informieren. Ein Ausfall dieser Infrastruktur hätte schwere Folgen.;"Wir können die Instabilität einer einzelnen Stadt durch Redundanz in benachbarte Partnerstädte minimieren. Dabei werden die Informationen der eigenen Stadt automatisch auf den der anderen repliziert. Im Gegenzug hält man ebenso die Daten der anderen Partnerstädte vor. Zusätzlich kann der Zugriff auf die Informationen einer Stadt parallel auf mehrere Städte verteilt werden (Load-Balancing). D.h. wenn eine Stadt ""überrannt"" wird mit Anfragen, können die Partnerstädte antworten.
Im Zuge dessen ist auch eine bundesweite, einheitliche Schnittstelle (API) zur Kommunikation von wichtigen Mitteilungen angestrebt."
Stadtgestaltung;Gründung und Förderung von OpenSource Spaces;"Weltweit gibt es viele Sofware Entwickler:innen die sich in ihrer Freizeit um Projekte von öffentlichem Interesse bemühen. Meistens ist dies ehrenamtlich, aus eigenen Mitteln finanziert, und findet – je nach verfügbarer Zeit – häufig nach der Arbeit oder am Wochenende statt.
Gleichzeitig sieht man von der Politik wenig Interesse öffentlich verfügbare Software (OpenSource) einzusetzen. Stattdessen werden Aufträge für 6 stellige Summen an Firmen vergeben, die bei jeder Änderung am Quellcode wieder zu Buche schlagen. Es herrscht die Meinung, dass quelloffene Software von minderer Qualität sei, was keineswegs der Fall ist. Weiterhin erhält man eine Software die häufig weder angepasst werden kann, noch an Dritte weitergegeben und somit der Allgemeinheit zu Gute kommt.

Insbesondere für öffentliche Einrichtungen finde ich es umso wichtiger, dass das was aus Steuermitteln finanziert ist, auch der Allgemeinheit dient. Dabei ist es nicht nur wichtig, dass OpenSource aktiv Leute dazu einlädt selbst mitzumachen. Gerade durch diese Offenheit können Security Audits durchgeführt werden. Unabhängige Experten können die Sicherheit und Privatsphäre des Systems gewährleisten. Dies passiert bei ClosedSource auf Vertrauensbasis.";"Aktiv OpenSource Entwicklungen unterstützen, einsetzen und investieren. Zusätzlich Raum und Personal schaffen um selbst OpenSource Lösungen zu entwickeln. Aktiv damit werben und andere Städte animieren es gleich zu tun. Gefundene Lösungen städteübergreifend einheitlich anwenden.
Aktuelles Beispiel: Kommunalwahlen. Jeder Landkreis setzt auf eine Individuallösung zur Darstellung der vorläufigen Auszählung. Warum ist dies nicht bundesweit einheitlich geregelt? (großes Lob an Bamberg an dieser Stelle, das eingesetzte System war wirklich erstklassig!) "
Digitalisierung;Eine App ist nicht die Lösung;"Ich lese hier immer wieder Vorschläge, Problem X mit App Y zu lösen. Eine App an sich ist nicht die Digitalisierungslösung schlechthin. Gerade was Klein-Städte-Apps angeht finden diese vor allem in der jungen Bevölkerung keinen Zulauf. Städte erhoffen sich Beteiligung und Nutzung alleine von der Veröffentlichung der App.

Die Inhalte aber bieten dann keinen wirklichen Mehrwert oder sind nicht Tagesaktuell. Die Sichtbarkeit von Kulturangeboten ist eingeschränkt und nicht vollständig. Stattdessen sind Informationen wie Behördenöffnungszeiten gelistet, die auch durch eine einfache Websuche beantwortet werden können ( und sind meist aktueller). Selbst Informationen über Denkmäler und Sehenswürdigkeiten sind eventuell einmalig relevant, aber tragen nicht zur regelmäßigen Nutzung bei. Doch genau diese Regelmäßigkeit ist für eine aktive Nutzung wichtig.";"Nutzer:innen müssen einen tatsächlichen Mehrwert gegenüber eine Webseite haben und nicht bloß ""digitalisierte"" Formulare. Insbesondere sollen die Geräteeigenschaften ausgenutzt werden (GPS, Kamera, Mikrofon, Gyroskop, Benachrichtigungen, Augmented Reality, NFC, 3D Rendering). Dabei ist jederzeit die Frage zu klären ob eine Webseite nicht ausreichend ist. Diese ließe sich nämlich auch ohne Smartphone und am PC bedienen.

Apps für Stadtführer u.ä. können dabei für eine Einmal-Installation ausgelegt sein. Die für Touristen zum Zeitpunkt der Reise einen medialen Mehrwert bieten, die aber nach einigen Tagen aller vorraussicht nach sowieso gelöscht werden. Tendenziell belegen diese Apps sehr viel Speicherplatz durch die eingebetteten Videos und Sprachtouren. Bürger:innen die bspw. nur an der Stadtplanung teilhaben wollen müssen so nicht unnötigen Speicherplatz verschwenden. "
Mobilität;Stadtplanung und Open-Street-Maps Hand in Hand;"Basierend auf den vorherigen Ideen ""Bereitstellen öffentlicher Daten"" & ""Familienfreundliche Stadt 2.0"", hier ganz konkret:

Open-Street-Maps sind gemeinfreie Online Karten, die von einer großen Community an freiwilligen Helfer:innen gepflegt werden. Ein Teil sind allgemeine Karten Informationen wie Orte, Straßen, Hausnummern, Flüsse, Seen und Wälder. Ein zweiter großer Teil sind Dinge des täglichen Bedarfs, wie z.B. Einkaufsläden, Parkhäuser, Briefkästen, Banken, aber auch einzelne Sitzebänke. Größtenteils sind die Information sogar so detailliert, dass zwischen einem Kiesweg und einem Sandweg unterschieden wird. Nach all diesen Attributen kann auch gesucht werden. So lässt sich beispielsweise ganz schnell beantworten wo der nächste Briefkasten oder alle Sitzbänke auf der Laufroute sind.";Wie bereits erwähnt steht eine große Anzahl an freiwilligen dahinter, die die Karten täglich auf dem neuesten Stand halten. Hier könnte Bamberg als Vorreiter proaktiv (und automatisiert) Daten aus der Stadtplanung direkt der Allgemeinheit zur Verfügung stellen. Diese Daten liegen bereits vor. Durch eine (kontinuierliche) Veröffentlichung profitiert nicht nur die Stadt (bspw. leichtere Navigation für Touristen) sondern auch die Bürger:innen (bspw. wo sind Wickelmöglichkeiten) 
Digitalisierung;Digitale Formulare;Viele Amtsbesuche wären überflüssig wenn ein digitales Formular online zur Verfügung stände. Wohnungsanmeldung, Ummeldung, Führungszeugnis, (Unter-)Miete, Beantragung von Pässen etc. ließe sich auch digital erledigen und würde so sowohl den Bürger:innen als auch dem Personal viel Zeit ersparen. ;Formulare sollen online ausfüllbar und einreichbar sein. Die Möglichkeiten zum Verifizieren einer Person sind vielfältig: Video-chat (Ausweis vorzeigen), Einscannen vom Ausweis, Chip Funktion des Ausweises, oder eine Neuentwicklung die ähnlich wie Chip-TAN-Generatoren funktioniert. Ein digitales Formular lässt sich zudem anreichern mit einer Gültigkeitsprüfung und zusätzlichen Hinweisen. Auch hier wird wieder Zeit eingespart für wiederholte Erläuterungen.
Mobilität;Autonome Pendelbusse zwischen ZOB, Bahnhof und den P&R-Parkhäusern;"Dichter Innenstadtverkehr mit Staus,Verkehrsbehinderungen und gefährlichen Situationen für alle Verkehrsteilnehmer; unzureichende Frequenz und Bequemlichkeit der Verknüpfung von Verkehrsknoten ";Autonome Pendelbusse zwischen ZOB, Bahnhof und den P&R-Parkhäusern könnten den Innenstadtverkehr reduzieren und gleichzeitig diese Verkehrsknoten gerade für Ältere besser erreichbar und nutzbar machen.Vgl. https://www.dbregio.de/innovationen/auto...
Barrierefreiheit;Seniorengerechte Mobilitätskarte/-app;Mobilitätskarte und Mobilitätsapp müssen gerade für Senioren übersichtlich, intuitiv, selbsterklärend und einfach zu handhaben sein. ;Die Stadt schlägt die Einführung einer übergreifenden Mobilitätskarte/-app vor. Für die Nutzung durch Senioren ist noch wichtiger als für Digital Natives, dass diese Karte und App übersichtlich, intuitiv, selbsterklärend und einfach zu handhaben sind, insbesondere bei Smartphone-Bildschirmen im Anzeigemodus mit vergrößerten Buchstaben und Ziffern. 
Digitalisierung;Leistungsstarkes WLAN-Netz im Stadtgebiet und ÖPNV;"Das derzeitige öffentliche WLAN-Netz ist auf wenige Stadtbereiche konzentriert, daher im gesamten Stadtgebiet und im ÖPNV unzureichend; vgl. Karte über die Verteilung der jetzt vorhandenen Bamberger Hotspots:
(https://geoportal.bayern.de/bayernatlas/... , 2021-07-07) ";Damit beispielsweise Mobilitätskarte und Mobilitätsapp schnell und problemlos im öffentlichen Raum funktionieren, muss ein leistungsstarkes WLAN-Netz im ÖPNV und an Haltestellen bereitstehen (s. a. Artikel im FT vom 7.7.21, S. 17 ‚Freistaat baut kommunales WLAN aus‘). Das bisherige BayernWLAN-Netz ist in Bamberg noch sehr lückenhaft und muss auch auf die Busse etc. des ÖPNV aus- gedehnt werden, um Zugang während der Fahrt zu ermöglichen. Kann gut mit Autonomen Bussen zwischen Verkehrsknoten verbunden werden.
Digitalisierung;" Eine Gärtnerstadt- und Gärtner App für Verbraucher und Touristen
";"Nachhaltige Nahversorgung

Gerade in der jetzigen Corona Krise wird deutlich, wie wichtig eine nachhaltige, intakte Nahversorgung für Bamberg ist. Eine besondere Rolle spielen hier die Bamberger Gärtner als lokale Produzenten.
Wissenschaftliche Studien der Uni Bamberg haben aber gezeigt, dass die Mehrheit der Bamberger Verbraucher noch nie bei einem örtlichen Gärtner eingekauft hat. Viele auch deswegen, weil ihnen der Standort der Gärtnereien oder deren Produkte unbekannt sind.

Lenkung der Besucherströme

Die Gärtnerstadt wird von den Besuchern Bambergs meist als wenig attraktiv wahrgenommen. Dies liegt vor allem auch daran, dass die Infos zu ihren Besonderheiten und Sehenswürdigkeiten, wie etwa den historischen Gärtnereien, dem Gärtnerturm etc. für Touristen nur schwer zugänglich sind. Eine Beschilderung oder Wegweisung vor Ort fehlt nahezu ganz.
Dabei könnte dieses kulturell sehr interessante Stadtgebiet ein wichtiger Baustein zur Lenkung und Verteilung der Besucherströme in Bamberg sein.
";"Die Entwicklung einer Gärtnerstadt-App für Web und mobile Endgeräte mit folgenden Features:

Verbraucherinformation

• Zoombare Übersichtskarte mit Standortbestimmung und interaktiver
Streckenführung zu den Bamberger Gärtnereien
• Beschreibung der Gärtnereien mit deren Produktpalette
• Saisonkalender für Gärtnerprodukte
• Suchfunktion für Produkte
• Push-Benachrichtigung für saisonale Produkte
• Informationen zur Gärtnerstadt, den Bamberger Lokalsorten und der
Bamberger Gärtnerkultur

• Darüber hinaus könnte eine gemeinsame Bestell- und Lieferplattform für
Bamberger Gärtnerprodukte integriert werden.
• Es wäre auch denkbar, die regionalen Produzenten der Regionalkampagne
Bamberg in die App miteinzubeziehen.

Zusätzliche Features für Touristen

• Interaktive Führung durch die Gärtnerstadt und zu den POIs
• Infos zur Welterbestätte, Immateriellem Welterbe, Gärtner- und
Häckermuseum, Sortengarten etc.
• Integration des Gärtnerstadt-Rundweges
• Implementierung einer englischsprachlichen Version"
